Epochs,Train 1Perceptual_Loss,Train 0.1latent_loss,Train Total Loss,Val 1Perceptual_Loss,Val 0.1latent_loss,Val Total Loss,Train SI_SDR,Val SI_SDR
41,0.0286461497786032,0.003875356480870166,0.03252150627320686,0.025611759809766963,0.0036035722329617157,0.02921533200869469,10.121168722995188,10.706214555625706
42,0.028557884780273598,0.0039170727801901405,0.03247495755215977,0.027829180387627394,0.003953596417692902,0.03178277686543641,10.135727569072499,10.43287472125611
43,0.02819014585542458,0.003967204217738963,0.03215735007731553,0.02386591250911518,0.004345780361285993,0.028211692958825925,10.237616048428256,10.710443585296797
44,0.027565742299900952,0.003938340939343773,0.03150408330344083,0.026747409406988346,0.004118479976285493,0.030865889210559307,10.314738342627903,10.72804867374441
45,0.02750855805262903,0.004023924947426295,0.03153248303231307,0.026726563155773233,0.0031621137336837993,0.029888676835702416,10.300770097635738,10.66708116062352
46,0.026849153267656578,0.004019463475377124,0.030868616808507342,0.025535949485508795,0.0036531515779543687,0.02918910095722623,10.436818461032233,10.899536788137883
47,0.026627361388629193,0.0040894398240267785,0.030716801177204392,0.020020428785413016,0.006939796197146707,0.026960225063350683,10.472888172081632,10.771510744355416
48,0.026131531843258927,0.004075397294019802,0.03020692921265326,0.020616035911005214,0.005113683647000297,0.025729719620666218,10.547348852183756,11.103389338717434
49,0.025987818602099505,0.004081041160881499,0.03006885978118587,0.027607766799425167,0.0033956199265441404,0.031003386703386007,10.605537919187087,10.85526311723261
50,0.02577417061903063,0.004071683789934294,0.029845854425892254,0.02217781685720213,0.004036119495915463,0.026213936362659833,10.60860013111465,10.954928752503108
51,0.02543529683394442,0.004162018782355719,0.029597315653668018,0.02280780129501077,0.003929319074237465,0.02673712034348419,10.676770063094152,11.006568523052612
52,0.02503661305703662,0.004106572130694985,0.029143185232125928,0.023305674215849958,0.004070588319162874,0.027376262644112435,10.76846220267653,11.144593356085606
53,0.025377969202599573,0.00417606012010372,0.029554029332604183,0.023791595054230567,0.004226639730056819,0.02801823469967953,10.747474083030502,11.106317376829887
54,0.024841336073514856,0.0042312824079800086,0.029072618490118222,0.02325847341368596,0.0039037681999616325,0.027162241713841104,10.782406962621032,11.10842156019367
55,0.024215570097822384,0.004217881582861329,0.028433451641080146,0.022194428705289714,0.004533358893161283,0.026727787615945103,10.911213860426747,11.281429134431432
56,0.024350350702230003,0.004245772595301434,0.028596123335538088,0.022317030255891424,0.004102882105651021,0.026419912327508458,10.903036778846396,11.212420658987076
57,0.023826063779247886,0.004326390761394049,0.028152454521798303,0.022390186827365165,0.004820803561072308,0.027210990302875392,10.921935410820081,11.10773223345397
58,0.02352568790807155,0.004290404964292061,0.02781609289184601,0.021408874829060554,0.003955233380290084,0.02536410820044455,11.018496874101531,11.184142474919721
59,0.0235150472257179,0.004228216864868733,0.02774326412060869,0.022753066889677053,0.003908429464358388,0.026661496380435638,11.08461269920255,11.303966144395005
60,0.023255078868099854,0.004237752737712488,0.02749283159399515,0.022209011916519025,0.004734735267015449,0.02694374719085019,11.126896844806332,11.175915392370172
61,0.023099494532047068,0.0042574759215034735,0.027356970495709176,0.019230697393071292,0.005220915080503627,0.024451612540688672,11.127607959124614,11.304793878982627
62,0.022820882740671986,0.0042887795515312455,0.02710966232382221,0.02558012678201407,0.0036698579982233546,0.02924998479645923,11.138684675363193,11.226278156530661
63,0.022885565951323475,0.004232882265262153,0.02711844825491166,0.018044239579308067,0.006094850322086608,0.024139089843187012,11.189681678805986,11.25329103365622
64,0.022635284693725152,0.004309123515155274,0.026944408232834196,0.020602626713308318,0.005084524182424641,0.025687150957439443,11.188556678664701,11.356508455641283
65,0.022609401832811217,0.004219086343468523,0.026828488162546245,0.021991194630438676,0.0037815468862927594,0.025772741489377016,11.175604792779366,11.511426164804261
66,0.02230667683777536,0.004278658591887936,0.026585335453617066,0.019686320033229766,0.005013509110555236,0.024699829042955337,11.280607704272485,11.449028359084833
67,0.022282625229157946,0.004244493858426278,0.02652711909524943,0.01837718443782196,0.005672844968446088,0.02405002936873524,11.318412373258907,11.373150723879455
68,0.021936694847417303,0.004304818041553652,0.026241512889929104,0.02176988693564886,0.005893311827809962,0.0276631987373767,11.317937939255327,11.222883474631388
69,0.021872634699233437,0.004357112131167116,0.02622974686968474,0.019829436330012773,0.004486943761782486,0.02431638003963102,11.373156353606445,11.603426922865903
70,0.021288556760925652,0.0043387428645954166,0.025627299633505657,0.01969258936854904,0.004361977961036514,0.024054567344853135,11.426162552931672,11.680000229611423
71,0.021824167282493027,0.0043869918258285815,0.026211159124929554,0.021533814090930047,0.004168619547431139,0.02570243361482366,11.403119645491548,11.6889584155682
72,0.021943140007167114,0.004251750121570214,0.026194890099992804,0.018120075097623093,0.004821807114264923,0.02294188219025894,11.421455899383796,11.406619709046161
73,0.021464868552154966,0.004339952102960669,0.02580482070174564,0.01697521045284926,0.004684805679529437,0.02166001618804176,11.442620864130342,11.541113345349421
74,0.021078492085537547,0.004296544420600592,0.025375036518913482,0.019630056482744837,0.0044890728125811805,0.024119129412059414,11.513639972370184,11.744420134956068
75,0.02118539937167583,0.0042900182504784345,0.025475417608740152,0.019616893803079922,0.005235551231759575,0.0248524450335672,11.506606397314817,11.653218899919688
76,0.021185456625657316,0.004344744141825535,0.02553020079654676,0.025286342439755714,0.003761862428500088,0.02904820481386504,11.55264339263874,11.422142578604443
77,0.020913822365610443,0.004307031805533788,0.025220854164437177,0.017065098051164972,0.005168184376566015,0.02223328243981782,11.568030720385014,11.643723680673402
78,0.020852704933590278,0.004281686711545385,0.025134391638109224,0.02137141375766833,0.003885493448380727,0.025256907160246308,11.621616863255966,11.530549468889914
79,0.02066763242980049,0.004302596689019204,0.024970229151716202,0.018861110734402158,0.005020025902862859,0.023881136678932796,11.721558752700952,11.631005959432633
80,0.020892541265352765,0.004321064371091859,0.025213605656565788,0.01983663765968032,0.0044605147482857845,0.024297152462674946,11.665499810492223,11.768244039816935
81,0.020359589296695874,0.00425475629127044,0.024614345582536792,0.017399731779196223,0.004774678571663716,0.022174410315871727,11.812144445947823,11.693265967030342
